STATE,BLOODBANKS.NO,BLOODBANK_DETAILS,,,
ANDHRA PRADESH,42,"Government   General   Hospital   Blood   Bank,   (Formerly
District   Head   Quarter   Hospital),   Dist.   H.Q.   Hospital Premises, Ground Floor, Anantapur",,,
ANDHRA PRADESH,43,"Government General Hospital Blood Bank, First Floor, OP
Block, Station Road, Guntur",,,
ANDHRA PRADESH,44,"Government  General  Hospital  Blood  Bank,  Government General  Hospital  Premises,  Ground  Floor,  Kakinada,  East
Godavari Dist.",,,
ANDHRA PRADESH,45,"Government  Head  Quarters  Hospital  Blood  Bank,  Govt.
H.Q. Premises, Ground Floor, RR PET, ELURU-6,",,,
ANDHRA PRADESH,46,"Government  Maternity  Hospital  Blood  Bank,  Government Maternity Hospital Premises, Ruia Hospital Road, Tirupathi
Chittoor Dist",,,
ANDHRA PRADESH,47,"Government   Victoria   Hospital   for   Women   &   Children
Blood Bank, 1st Floor, Victoria Hospital Premises, 1 Town, Visakhapatnam-1",,,
ANDHRA PRADESH,48,"Govt Area Hospital Blood Bank, Tuni, East Godavari Dist.",,,
ANDHRA PRADESH,49,"Govt.  Area  Hospital  Blood  Bank,  APVVP  Area  Hospital,
Ground Floor, Chirala.",,,
ANDHRA PRADESH,50,"Great  Eastern  Medical  School  &  GEMS  Hospital  Blood
Bank, Ragolu, Srikakulam Mandal, Srikakulam",,,
ANDHRA PRADESH,51,"GSL  Medical  College  and  General  Hospital  Blood  Bank,
Laxmipuram, NH.5, Rajanagaram Mandal, Rajhamundry",,,
ANDHRA PRADESH,52,"Indian  Naval  Hospital  Ship  Kalyani  Blood  Bank,  Kalyani
Gandhigram Post, Visakhapatnam.",,,
ANDHRA PRADESH,53,"Indian Red Cross Society B.S. Sastry Blood Bank, D.No. 8- 5-2/A,      Besides      DM      &      HO      Office,      Bapuji
Kalamandir,Srikakulam",,,
ANDHRA PRADESH,54,"Indian  Red  Cross  Society  Blood  Bank,  #  10/971,  Bellam
mandy, Near Matipeddapuli, Trunk Road, Chaddapa.",,,
ANDHRA PRADESH,55,"Indian Red Cross Society Blood Bank, # 20-119, 1st Floor,
Red Cross Building, Prakasham High Road, Chittoor",,,
ANDHRA PRADESH,56,"Indian  Red  Cross  Society  Blood  Bank,  #  57-1-29  to  31,
Railway Station Road, Ongole",,,
ANDHRA PRADESH,57,"Indian Red Cross Society Blood Bank, 1st Floor, Govt Area
Hospital, Adhoni, Kurnool",,,
ANDHRA PRADESH,58,"Indian   Red   Cross   Society   Blood   Bank,   Area   Hospital
Permises, Markapur, Prakasam Dist.",,,
ANDHRA PRADESH,59,"Indian   Red   Cross   Society   Blood   Bank,   Area   Hospital
Premises, First Floor, Palnadu Road, Narasaraopet-1",,,
ANDHRA PRADESH,60,"Indian  Red  Cross  Society  Blood  Bank,  Area  Hospital,  1st
Floor, ZP Compound, Guntur-4",,,
ANDHRA PRADESH,61,"Indian Red Cross Society Blood  Bank, D.No.14-35-4, Red
Cross   Buildings,   1   Red   Cross   Avenue,   Maharanipeta, Visakhapatnam",,,
ANDHRA PRADESH,62,"Indian Red Cross Society Blood  Bank, D.No.14-35-4, Red
Cross   Buildings,   1   Red   Cross   Avenue,   Maharanipeta, Visakhapatnam",,,
ANDHRA PRADESH,63,"Indian red cross society Blood Bank, District Area Hospital,
Ananthapur.",,,
ANDHRA PRADESH,64,"Indian  Red  Cross  Society  Blood  Bank,  District  Branch, Govt.   Medical   College   Hospital   Building,   Engineering
College Road, Sarada Nagar, Ananthapur",,,
ANDHRA PRADESH,65,"Indian   Red   Cross   Society   Blood   Bank,   Govt.   General
Hospital Premises, Eluru-6",,,
ANDHRA PRADESH,66,"Indian Red Cross Society Blood Bank, H.No. 8-14-39, Red
Cross Street, Gandhi Nagar, Kakinada",,,
ANDHRA PRADESH,67,"Indian   Red   Cross   Society   Blood   Bank,   Parvathipuarm TownArea     Hospital     Permises,     1st     Flor,     Belagam,
Parvathipuram, vizianagaram",,,
ANDHRA PRADESH,68,"Indian  Red  Cross  Society  Blood  Bank,  Red  Cross  Road, adjacent   to   Govt.   Maternity   Hospital,   Near   Vegitable
Market, Nellore.",,,
ANDHRA PRADESH,69,"Indian  Red  Cross  Society  Blood  Bank,  Sy.  No.  894  &
896/2, Ground and First Floor, DM & HO Campus, Kurnool",,,
ANDHRA PRADESH,70,"Indian Red Cross Society Blood Bank, T.S.No. 7/1B, Near
Ganesh Temple, Contonment, vizianagaram",,,
ANDHRA PRADESH,71,"Indian   Red   Cross   Society,   Dr   Mullapudi   Harischandra Prasad  Red  Cross  Blood  Bank,  IRCS  Building,  D.No.  27-
14-9, Doddipatlavari Street, Tanuku.",,,
ANDHRA PRADESH,72,"Indian  Red  Cross  Society,  Opp  III  Town  Police  Station, Court      Complex,      E.G.DT,      Rajahmundry      Branch,
Rajahmundry.",,,
ANDHRA PRADESH,73,"IRCS Blood Bank, at APVVP Govt. Area Hospital, Ground
Floor, Kadiri, Anantapur",,,
ANDHRA PRADESH,74,"IRCS Blood Bank, Community Health Center, Narsapuram,
West Godavari Dist., AP",,,
ANDHRA PRADESH,75,"IRCS Blood Bank, District Branch, Jangareddygudem, West
Godavari District, A.P.",,,
ANDHRA PRADESH,76,"IRCS   Red   Cross   Blood   Bank,   Government   Hospital
Campus,     Repalli.",,,
ANDHRA PRADESH,77,"Jagruti  Charitable  Trust  Blood  Bank,  D.No.  77-1-2,  1st
Floor, Jagruthi Building,  Gandhipuram, Rajamandry-3.",,,
ANDHRA PRADESH,78,"K.K Indian Red Cross Society Blood bank, S. N0. 1083/3,
RDO office Compound, Trunk Road,  Kavali, Nellore",,,
ANDHRA PRADESH,79,"Kamineni  Health  care  Pvt.  Ltd.  Blood  Bank,  1-51,  100  ft
New Auto nagar Road, Poranki, Vijayawada",,,
ANDHRA PRADESH,80,"Katuri  Medical  College  &  Hospital  Blood  Bank,    Katuri
Nagar, Chinakondrapadu, Prathipadu(Mand), Guntur-Dist,",,,
ANDHRA PRADESH,81,"King George Hospital Blood Bank, KGH Premises, Ground
Floor, Maharanipeta, Visakhapatnam-2",,,
ANDHRA PRADESH,82,"Konaseema   Institute   of   Medical   Sciences   &   Research Foundation  Hospital  Blood  Bank,  Sy.  No.  813  to  817, Kamanagaruvu,  Vidyanagar,  Near  Red  BridgeSy.  No.  813 to   817,   Kamanagaruvu,   Vidyanagar,   Near   Red   Bridge,
Amalapuram",,,
ANDHRA PRADESH,83,"Life  Line  Voluntary  Blood  Bank,  D.  No.  37-1-169/54, Second  Floor,  Whole  Portion,  Sundharaiah  Bhavan  Road,
Ongole, Prakasham District.",,,
ANDHRA PRADESH,84,"Lions Blood Bank, (Lions Vijayawada Vision Multiservice Trust)  D.No.  29-19-85,  First  Floor,  &  Second  Floor,  Old Janata    Hospital    Building,    Dornakol    Road,    Suryapet,
Vijayawada",,,
ANDHRA PRADESH,85,"Lions Club of Visakhapatnam Blood Bank Trust, D.No. 10- 54-7, Lions Community Hall, Ram Nagar, Visakhapatnam-
530 002",,,
ANDHRA PRADESH,86,"Lions Vision Blood Bank, Lions Club International, D.No. 12-17-31, 1st Floor, Somuvari Street, Near Bose Statue, Old
Club Road, Kothapet, Guntur",,,
ANDHRA PRADESH,87,"M/s. Dr. Pattabhi Red Cross Society Blood Bank, R.S. No. 261/8,  Parasupet,  S.P.  Banglow  Centre,  Kennedy  Raod,
Machilipatnam",,,
ANDHRA PRADESH,88,"M/s. Gitam Institute of Medical Sciences Blood Bank, Door No.  5-168,  Ward  No.  6,  GITAM  University,  Rushikonda,
Visakhapatnam- 530045",,,
ANDHRA PRADESH,89,"Maharaja  Institute  of  Medical  Sciences  Blood  Bank,  #  31- 15,    MIMS    General    Hospital    Premises,    Nellimarla,
vizianagaram",,,
ANDHRA PRADESH,90,"Manipal  Hospital  Blood  Bank,  Level  1,  Soumya  Nagar,
Tadepalli, Guntur",,,
ANDHRA PRADESH,91,"N.  T.  R.  Memorial  Trust  Blood  Bank,  D.No.  13-2-67,  1st
Floor, Gunturuvari Thota, Kothapet, Guntur.",,,
ANDHRA PRADESH,92,"Nagarjuna  Hospitals  Limited  Blood  Bank,  Second  Floor,
Kanuru, Vijayawada.",,,
ANDHRA PRADESH,93,"Narayana  Medical  College  and  General  Hospital  Blood
Bank 1st  Floor, A1 Wing, Chintareddypalem,  Nellore",,,
ANDHRA PRADESH,94,"Needs Blood Bank (A Unit of Needs Society) D.No. 12-28-
56, 1st Floor (Part), Main Road, Kothapet, Guntur- 1,",,,
ANDHRA PRADESH,95,"Nimra  Institute  of  Medical  Sciences   (NIMS),   Teaching Hospital  &  Research  Centre,  4-90,  Nimra  Nagar,  Jupudi,
Ibrahimpatnam, Vijayawada, Krishna Dist., - 521 456, AP",,,
ANDHRA PRADESH,96,"NRI   Academy   of   Sciences,   NRI   Medical   College   and General Hospital Blood Bank, E Block, First Floor, Medical
College  &  GH  Premises,  Chinakakani  (V),  Mangalagiri (M), Krishna dt.",,,
ANDHRA PRADESH,97,"NRT    Blood    Bank,    GBR    Super    Speciality    Hospital,
10-1-10/1,    Opposite    reddy    college,    Palnadu    Road, Narasaraopet- 522 601,AP",,,
ANDHRA PRADESH,98,"NTR   Memorial   Trust   Blood   Bank,   H.No   10-50-58/1, Raghavendra  Towers,  Plot  No.  15B-3-1,  Block  No.  56,
Ramnagar, Waltair road, Vizag- 530 002.",,,
ANDHRA PRADESH,99,"Ongole Blood Bank, # 5-380, Sridhar Clinic Lane, Kurnool
Road,",,,
ANDHRA PRADESH,100,"Padmavathi  Day  &  Night   Blood   Bank,   #  12-22-39/10,
Cellar Portion, Kothapet, Guntur",,,
ANDHRA PRADESH,101,"Palakol  Voluntary  Blood  Bank,  (A  division  of  Palakol Charitable   Trust),   H.   No.   11-1-13,   Near   Urban   Bank,
Palakol.",,,
ANDHRA PRADESH,102,"Peoples Education Society Institute of Medical Sciences and Research  Blood  Bank,  PES  Institute  of  Medical  Sciences
Premises, Kuppam, Chittor",,,
ANDHRA PRADESH,103,"Project   Hospital   Blood   Bank,   NSRS   Project   Hospital
Premises, Srisailam Project (East), Sundipenta Village (PO), Srisailam, Kurnool",,,
ANDHRA PRADESH,104,"R.R.  Hospital  Blood  Bank,  D.No.30-304-10,  Bhagyanagar,
Kurnool-518004.",,,
ANDHRA PRADESH,105,"Rajiv   Gandhi   Institute   of   Medical      Sciences   General
Hospital  Blood  Bank  Ground  Floor,  Old  Family  Planning Building, RIMS Hospital Premises, Srikakulam-532001",,,
ANDHRA PRADESH,106,"Rajiv  Gandhi  Institute  of  Medical  Science  blood  bank,
Ongole",,,
ANDHRA PRADESH,107,"Rajiv  Gandhi  Institute  of  Medical  Sciences  Blood  Bank RIMS General Hospital, OP Block (K wing), Ground Floor,
Putlampalli,  Kadapa",,,
ANDHRA PRADESH,108,"Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust), D.No. 15-8-10, 2nd Floor, Sambamurthinagar Road,
Brahmarshi Road, Satyaprasanna Nagar, Kakinada",,,
ANDHRA PRADESH,109,"Rotary  Blood  Bank,  (Visakha  Portcity  Charitable  Trust), D.No.        13-26-2/54,    3rd    Floor,    Apuroopa    Archede,
Jagadamaba Junction, Maharanipeta, Visakhapatnam",,,
ANDHRA PRADESH,110,"Rotary  Red  Cross  Blood  Bank,  D.No.  26-5-5,  GS  Raju
Street, Gandhi Nagar, Vijayawada-520 003,",,,
ANDHRA PRADESH,111,"Rudhira  Voluntary  blood  Bank,  H.No.  7-5-9,  Ist  Floor,
Prakashama Road, Gangamapeta, Tenali, Guntur.",,,
ANDHRA PRADESH,112,"Rural   Development   Trust   Hospital   Blood   Bank,   RDT Hospital  Campus,  Ground  Floor,   Survey  No.  153,  Kadiri
Road, Anathapuram",,,
ANDHRA PRADESH,113,"Sakthi  Voluntary  Blood  Bank,  D.No.  3-5-9,  Opp.  Raithu Bazar,  Lalam  Satyanatayana  Hospitla  Street,  Tuni,  East
Godavari Dist",,,
ANDHRA PRADESH,114,"Santhiram  Medical  College  and  General  Hospital  Blood Bank,   SHAFA   Educational   Society,   NH-18,   Nandhyal,
Kurnool",,,
ANDHRA PRADESH,115,"Seven  Hills  Hospitals  Blood  Bank,    D,  Bi,  11-4-4/A,  5th
Floor, Rockdale Layout, Visakhapatnam",,,
ANDHRA PRADESH,116,"Smt. Chigurupati Manjuvani Varaprasad Lions District 324- C4   Blood   Bank,   D.No.   29-4-54   K,   Canon   Dhanvada Anantham     Complex,     Prakasam     Road,     Suryaraopet,
Vijayawada",,,
ANDHRA PRADESH,117,"Smt. Venkata Narasamma and Helapuri Lions Blood Bank,
H.No. 23A-7-13, Rangoon Meda, RR peta, ELURU-2,",,,
ANDHRA PRADESH,118,"South  Central  Railway  Hospital  Blood  Bank,    Ist  Floor,
South Centrl Railway Hospital Premises,  Vijayawada",,,
ANDHRA PRADESH,119,"South  Central  Railway  Hospital  Blood  Bank,  SC  Railway
Hospital Premises, Guntakal, Anantapur",,,
ANDHRA PRADESH,120,"Sri  Buddala  Narasimhamurty  Blood  Bank,  D.No.  34-4/5,
Ground floor, Supriya Towers",,,
ANDHRA PRADESH,121,"Sri Lakshmi Maternity & Surgical Nursing Home,    D.No.
12-24-25, Beside Sivalayam, 4th Floor, Kothapet, Guntur.",,,
ANDHRA PRADESH,122,"Sri Lakshmi Maternity & Surgical Nursing Home,    D.No.
12-25-24, Beside Sivalayam, 2nd Floor, Kothapet, Guntur.",,,
ANDHRA PRADESH,123,"Sri  Satya  Sai  Institute  of  Higher  Medical  Sciences  Blood Bank,   Sri   Satya   Sai   Hospital   Premises,   Prasanthigram,
Puttaparthi, Anantapur",,,
ANDHRA PRADESH,124,"Sri Venkata Sai Charitable Trust Blood Bank, H. No. 10-3-
206,  M4,  First  Floor,  Reddy  &  Reddy Colony,  Varadaraja Nagar, Tirupathi",,,
ANDHRA PRADESH,125,"Sri Venkateswara Institute of Medical Sciences Blood Bank,
SVIMS Hospital Premises, T.T.D, Tirupati",,,
ANDHRA PRADESH,126,"Srinivasa  Nursing  Home  Blood  Bank,  Ground  Floor,  Plot
No. 6, Arundati Nagar,  Opp. Goods Shed Jn, Contonment, Vizianagaram.",,,
ANDHRA PRADESH,127,"St. Ann's Hospital Blood Bank, Bandar Road, Vijayawada-
520 002.",,,
ANDHRA PRADESH,128,"St.  Joseph's  General  Hospital  Blood  Bank,  First  Floor,
Hospital Premises, Guntur-4",,,
ANDHRA PRADESH,129,"Suraksha     Voluntary     Blood     Bank,     D.No.     29-10-8,
Narasimhanaidu Street, Suryaraopet, Vijayawada-520002",,,
ANDHRA PRADESH,130,"Suraksha     Voluntary     Blood     Bank,     D.No.     29-10-8,
Narasimhanaidu Street, Suryaraopet, Vijayawada-520002.",,,
ANDHRA PRADESH,131,"SVRR   Government   General   Hospital   Blood   Bank,   1st
Floor, Main Building, SSVR Hosital Permises, Tirupathi.",,,
ANDHRA PRADESH,132,"Swatanthra  Hospital  (Super  Speciality  Hospital)  Pvt.  Ltd. Blood     Bank,     D.No.     19-5-21/6,     2nd     Floor,     Near
KambalaTank, Rajahmundry-533 105",,,
ANDHRA PRADESH,133,"TTD  Central  Hospital  Blood  Bank,  TTD  Central  Hospital
Premises, First Floor, KT Road, Tirupathi",,,
ANDHRA PRADESH,134,"Uddaraju Anandaraju Foundation Blood Bank, D.No. 27-8-
21/2, Sivaraopet, Bhimavaram, West Godavari.",,,
ANDHRA PRADESH,135,"Vijaya Blood Bank, D.No. 3/179, Sai Kuteer Road, Ground
Floor. Proddutur.",,,
ANDHRA PRADESH,136,"Vijayasri   Blood   Bank   (A   Unit   of   Vijayasri   Memorial Charitable    Trust),    D.No.    29-4-30,    Maheswari    Plaza,
Kodanda Rami Reddy Street, Governorpet, Vijayawada.",,,
ANDHRA PRADESH,137,"Visakha  Steel  General  Hospital  Blood  Bank,  First  Floor,
Sector 6, Ukkunagaram, Visakhapatnam",,,
ANDHRA PRADESH,138,"Visakha  Voluntary  Blood  Bank,  (A  Division  of  Visakha
Charitable   Trust),   D.No.   10-2-1/1,   1st   Foor,   16-172, Krishna Arcade, Main Rd, Old Gajuwaka Jn.",,,
ANDHRA PRADESH,139,"Viswa Bharathi General Hospital Blood Bank, R.T. Nagar,Near Penchikalapadu (V), Kallur (M),  Kurnool Dist., A.P.",,,
ANDHRA PRADESH,140,"Viswa  Bharathi   Super   Speciality  Hospital   Blood   Bank, #50/760-A-127-13,    1st    Floor,    (O.P.    Block),    Gayathri,Estates, Kurnool",,,
ARUNACHAL PRADESH,1,"M/s Blood Bank,  General Hospital,  Naharlagun",,,
ARUNACHAL PRADESH,2,"M/s Blood Bank,  General Hospital, Pasighat",,,
ARUNACHAL PRADESH,3,"M/s  Blood  Bank,  Ramakrishna  Mission  Hospital,  Itanagar,
Pin-791113.",,,
ARUNACHAL PRADESH,4,"M/s District Hospital Blood Bank,  West Along,",,,
ARUNACHAL PRADESH,5,"M/s Blood Bank Dist. Hospital, Tezu",,,
ARUNACHAL PRADESH,6,"M/s Blood Bank District Hospital, Roing",,,
ARUNACHAL PRADESH,7,"M/s District Hospital, Changlang",,,
ARUNACHAL PRADESH,8,"M/s Blood Bank Dist. Hospital, Bomdiala.",,,
ARUNACHAL PRADESH,9,"M/s Blood Bank Dist. Hospital, Seppa",,,
ARUNACHAL PRADESH,10,"M/s District Hospital, Tawang.",,,
ARUNACHAL PRADESH,11,"M/s District Hospital, Ziro, Lower Subansiri District.",,,
ARUNACHAL PRADESH,12,"M/s District Hospital Blood Bank,Daporijo",,,
ARUNACHAL PRADESH,13,"M/s District Hospital,Yingkiong,Upper Siang.",,,
ASSAM,1,"M/s Bongaigaon C.H.C. blood bank, Bongaigaon.",,,
ASSAM,2,M/s Silchar Medical College and Hospital Blood Bank.,,,
ASSAM,3,"M/s BRPL Hospital Blood Bank, P.O. Dhaligaon.",,,
ASSAM,4,"M/s Blood Bank Red Cross Children Hospital, Silchar",,,
ASSAM,5,"M/s  Mangaldoi Civil Hospital blood bank, Mangaldoi.",,,
ASSAM,6,"M/s    Dhemaji  Civil  Hospital  blood  bank,  Lachit  Nagar,
P.O.- Khubalia",,,
ASSAM,7,"M/s  State  of  the  Art  Model  blood  bank,  Assam  Medical
College & Hospital Blood Bank, Dibrugarh",,,
ASSAM,8,"M/s    Brahmaputra    Valley    Fertilizer    Corporation    Ltd.,
Namrup, P.O.- Parbatpur",,,
ASSAM,9,"M/s  Oil  India  Ltd.  Hospital  Blood  Bank,  Duliajan,  Pin-
786602",,,
ASSAM,10,"M/s   Dhubri   Civil  Hospital   Blood   Bank,   Vill.   &  P.O.-
Jhagrarpar",,,
ASSAM,11,"M/s Civil Hospital, Golpara",,,
ASSAM,12,"M/s K.K. Civil Hospital blood bank,  Golaghat",,,
ASSAM,13,"M/s    Hailakandi    Civil    Hospital    Blood    Bank,    Dist.-
Hailakandi, Pin-78815",,,
ASSAM,14,"M/s State of the Art Model blood bank, Guwahati Medical
College & Hospital,Guwahati",,,
ASSAM,15,"M/s Dr. B. Barooah Cancer Institute Blood Bank,Gopinath
Nagar, Guwahati-16",,,
ASSAM,16,"M/s M.M.C. Hospital Blood Bank, Panbazar, Guwahati",,,
ASSAM,17,"M/S Diphu Civil Hospital Blood Bank,  Diphu,  Anglong.",,,
ASSAM,18,"M/s  Karimganj  Civil  Hospital  Blood  Bank,  P.O.  +  Dist.  -
Karimganj, Pin -788710, Assam",,,
ASSAM,19,"M/s  R.N.B.  Civil  Hospital  Blood  Bank,  P.O.  +  Dist.  -
Keonjhar, BTAD, Pin-783370, Assam",,,
ASSAM,20,"M/s North Lakhimpur Civil Hospital, North Lakhimpur.",,,
ASSAM,21,M/s Marigaon Civil Hospital blood bank,,,
ASSAM,22,"M/s B.P. Civil Hospital,Nagaon",,,
ASSAM,23,M/s Nalbari Civil Hospital blood bank,,,
ASSAM,24,"M/s Halflong Civil Hospital Blood Bank, Haflong",,,
ASSAM,25,M/s  Sivsagar Civil Hospital blood bank,,,
ASSAM,26,"M/s  O.N.G.C. Ltd. Hospital Blood Bank, Sivsagar",,,
ASSAM,27,"M/s Kanaklata Civil Hospital Blood Bank, Tezpur",,,
ASSAM,28,"M/s   Tinsukia      Civil   Hospital   Blood   Bank.   (L.G.B.),
Bordoloi Nagar, P.O.-Tinsukia,",,,
ASSAM,29,"M/s  Indian  Oil  Corporation  Ltd.  Hospital  Blood  Bank,
Digboi, Dist.- Tinsukia, Pin-786171, Assam",,,
